strain	strain	Data Source	genbank_accession	pango_lineage	Nuc.Completeness	Sequence Length	Sequence Quality	Quality Assessment	Host	Sample Collection Date	Location
BHR/22020050742/2022	BHR/22020050742/2022	Nextstrain	ON171858	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/24	Bahrain
BHR/22020076073/2022	BHR/22020076073/2022	Nextstrain	ON146374	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/4	Bahrain
BHR/22020086826_S56_L001/2022	BHR/22020086826_S56_L001/2022	Nextstrain	OM845060	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/18	Bahrain
BHR/22020096542_S49_L001/2022	BHR/22020096542_S49_L001/2022	Nextstrain	OM844211	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/17	Bahrain
BHR/22020107176/2022	BHR/22020107176/2022	Nextstrain	ON103261	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/2/18	Bahrain
BHR/22020116220/2022	BHR/22020116220/2022	Nextstrain	OM986505	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/23	Bahrain
BHR/22020129890/2022	BHR/22020129890/2022	Nextstrain	ON077328	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/1	Bahrain
BHR/22020165103/2022	BHR/22020165103/2022	Nextstrain	ON123845	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/19	Bahrain
BHR/22020175095/2022	BHR/22020175095/2022	Nextstrain	ON102925	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/23	Bahrain
BHR/22020179439/2022	BHR/22020179439/2022	Nextstrain	ON123975	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/26	Bahrain
BHR/22020184613/2022	BHR/22020184613/2022	Nextstrain	ON197601	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/28	Bahrain
BHR/22020243490_S49_L001/2022	BHR/22020243490_S49_L001/2022	Nextstrain	ON495827	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/28	Bahrain
BHR/22020248587_S67_L001/2022	BHR/22020248587_S67_L001/2022	Nextstrain	ON495842	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/2	Bahrain
BHR/22020256525_S20_L001/2022	BHR/22020256525_S20_L001/2022	Nextstrain	ON606138	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/8	Bahrain
BHR/22020267909_S31_L001/2022	BHR/22020267909_S31_L001/2022	Nextstrain	ON627354	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/12	Bahrain
BHR/22020291013/2022	BHR/22020291013/2022	Nextstrain	ON629657	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/24	Bahrain
BHR/22020374738/2022	BHR/22020374738/2022	Nextstrain	ON935687	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020374826/2022	BHR/22020374826/2022	Nextstrain	ON935627	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020374845/2022	BHR/22020374845/2022	Nextstrain	ON935643	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020374920/2022	BHR/22020374920/2022	Nextstrain	ON935629	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020374937/2022	BHR/22020374937/2022	Nextstrain	ON935649	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020375179/2022	BHR/22020375179/2022	Nextstrain	ON935685	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020375278/2022	BHR/22020375278/2022	Nextstrain	ON935682	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020375281/2022	BHR/22020375281/2022	Nextstrain	ON935628	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/2	Bahrain
BHR/22020376936/2022	BHR/22020376936/2022	Nextstrain	ON935647	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/3	Bahrain
BHR/22020377296/2022	BHR/22020377296/2022	Nextstrain	ON935714	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/7/3	Bahrain
BHR/22020377574/2022	BHR/22020377574/2022	Nextstrain	ON935631	BA.5.2.1	Complete	29903	High	NA	Homo sapiens	2022/7/3	Bahrain
BHR/22530031811_S12_L001/2022	BHR/22530031811_S12_L001/2022	Nextstrain	ON627304	BA.4	Complete	29903	High	NA	Homo sapiens	2022/5/11	Bahrain
BHR/22690029146/2022	BHR/22690029146/2022	Nextstrain	OM986637	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/22	Bahrain
BHR/22690030312_S17_L001/2022	BHR/22690030312_S17_L001/2022	Nextstrain	OM844354	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/17	Bahrain
BHR/22690030411/2022	BHR/22690030411/2022	Nextstrain	OM986532	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/22	Bahrain
BHR/22690050705_S6_L001/2022	BHR/22690050705_S6_L001/2022	Nextstrain	ON606101	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/1	Bahrain
BHR/22920246480/2022	BHR/22920246480/2022	Nextstrain	ON077201	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/20	Bahrain
BHR/22920317256_S77_L001/2022	BHR/22920317256_S77_L001/2022	Nextstrain	ON606116	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/1	Bahrain
BHR/22920321601_S6_L001/2022	BHR/22920321601_S6_L001/2022	Nextstrain	ON606388	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/5/8	Bahrain
BHR/22920324877_S51_L001/2022	BHR/22920324877_S51_L001/2022	Nextstrain	ON627331	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/12	Bahrain
BHR/22920330460_S93_L001/2022	BHR/22920330460_S93_L001/2022	Nextstrain	ON627543	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/5/19	Bahrain
BHR/22920357346/2022	BHR/22920357346/2022	Nextstrain	ON935683	BA.5.2	Complete	29903	High	NA	Homo sapiens	2022/6/15	Bahrain
BHR/22920391023/2022	BHR/22920391023/2022	Nextstrain	ON935645	BA.4	Complete	29903	High	NA	Homo sapiens	2022/7/3	Bahrain
BHR/22970040870/2022	BHR/22970040870/2022	Nextstrain	ON146526	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/25	Bahrain
BHR/22970041061/2022	BHR/22970041061/2022	Nextstrain	ON171871	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/25	Bahrain
BHR/22970041754/2022	BHR/22970041754/2022	Nextstrain	ON418981	BA.2	Complete	29903	High	NA	Homo sapiens	2022/1/25	Bahrain
BHR/22970063387/2022	BHR/22970063387/2022	Nextstrain	OM844199	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/13	Bahrain
BHR/22970193936_S65_L001/2022	BHR/22970193936_S65_L001/2022	Nextstrain	ON606180	BA.2	Complete	29903	High	NA	Homo sapiens	2022/5/5	Bahrain
BHR/341401292/2021	BHR/341401292/2021	Nextstrain	MW704354	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/1/27	Bahrain
BHR/341444930/2021	BHR/341444930/2021	Nextstrain	MW704347	B.1.471	Complete	29903	High	NA	Homo sapiens	2021/2/3	Bahrain
BHR/341709279/2021	BHR/341709279/2021	Nextstrain	MW947234	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/19	Bahrain
BHR/342039495/2021	BHR/342039495/2021	Nextstrain	MZ496788	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/5/11	Bahrain
BHR/342067030/2021	BHR/342067030/2021	Nextstrain	MZ496795	AY.65	Complete	29903	High	NA	Homo sapiens	2021/5/14	Bahrain
BHR/40501272_S95_L001/2022	BHR/40501272_S95_L001/2022	Nextstrain	OM283448	BA.1.17.2	Complete	29903	High	NA	Homo sapiens	2022/1/12	Bahrain
BHR/451105320/2022	BHR/451105320/2022	Nextstrain	ON106898	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/6	Bahrain
BHR/510045871/2022	BHR/510045871/2022	Nextstrain	OM988731	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/9	Bahrain
BHR/5902232257/2022	BHR/5902232257/2022	Nextstrain	OM986622	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/22	Bahrain
BHR/5902315601/2022	BHR/5902315601/2022	Nextstrain	ON384726	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/1	Bahrain
BHR/600077071/2022	BHR/600077071/2022	Nextstrain	OM988732	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/9	Bahrain
BHR/620114720/2022	BHR/620114720/2022	Nextstrain	ON106947	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/3/7	Bahrain
BHR/660023130_S63_L001/2022	BHR/660023130_S63_L001/2022	Nextstrain	OM283494	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/12	Bahrain
BHR/800205898/2022	BHR/800205898/2022	Nextstrain	ON106992	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/1	Bahrain
BHR/R15902238425_S337_L001/2022	BHR/R15902238425_S337_L001/2022	Nextstrain	OM843461	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/16	Bahrain
BHR/R222690043977/2022	BHR/R222690043977/2022	Nextstrain	ON123847	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/27	Bahrain
BHR/R25902348972/2022	BHR/R25902348972/2022	Nextstrain	ON380699	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/24	Bahrain
BHR/R25902358886_S18_L001/2022	BHR/R25902358886_S18_L001/2022	Nextstrain	ON606124	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/30	Bahrain
BHR/R322690051937_S53_L001/2022	BHR/R322690051937_S53_L001/2022	Nextstrain	ON606428	BA.2.12.1	Complete	29903	High	NA	Homo sapiens	2022/5/9	Bahrain
BHR/R35902355028_S38_L001/2022	BHR/R35902355028_S38_L001/2022	Nextstrain	ON495858	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/27	Bahrain
BHR/R65902287036/2022	BHR/R65902287036/2022	Nextstrain	ON107121	BA.2	Complete	29903	High	NA	Homo sapiens	2022/3/15	Bahrain
BRA/1431/2021	BRA/1431/2021	Nextstrain	MZ169912	P.2	Complete	29903	High	NA	Homo sapiens	2021/2/26	Brazil
BRA/MASP2C844R2/2020	BRA/MASP2C844R2/2020	Nextstrain	MW592707	B.1.1.28	Complete	29903	High	NA	Homo sapiens	2020/11/21	Brazil
BRA/MT21770/2020	BRA/MT21770/2020	Nextstrain	MW962308	B.1.1.33	Complete	29903	High	NA	Homo sapiens	2020/8/23	Brazil
BRA/SP02/2020	BRA/SP02/2020	Nextstrain	MT126808	B	Complete	29903	High	NA	Homo sapiens	2020/2/28	Brazil
CHE/H1028/2020	CHE/H1028/2020	Nextstrain	ON209832	B.1	Complete	29903	High	NA	Homo sapiens	2020/4/13	Switzerland
CHN/6200/2021	CHN/6200/2021	Nextstrain	OL663987	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/6/3	China
CHN/6305/2021	CHN/6305/2021	Nextstrain	OL663936	B.1.617.2	Complete	29903	High	NA	Homo sapiens	2021/6/6	China
CHN/NJ_02/2022	CHN/NJ_02/2022	Nextstrain	OM698368	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/10	China
CHN/NJ_07/2022	CHN/NJ_07/2022	Nextstrain	OM698369	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/10	China
COL/79256_Antioquia/2020	COL/79256_Antioquia/2020	Nextstrain	MT256924	A.5	Complete	29903	High	NA	Homo sapiens	2020/3/11	Colombia
CZE/CzechiaMotol_1968/2020	CZE/CzechiaMotol_1968/2020	Nextstrain	MT371571	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/3/18	Czech Republic
CZE/IAB_14/2020	CZE/IAB_14/2020	Nextstrain	MT517426	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/4/27	Czech Republic
DJI/NAMRU3_004/2020	DJI/NAMRU3_004/2020	Nextstrain	OK018220	B.1	Complete	29903	High	NA	Homo sapiens	2020/5/22	Djibouti
DJI/NAMRU3_028/2020	DJI/NAMRU3_028/2020	Nextstrain	OK018227	B.1.324	Complete	29903	High	NA	Homo sapiens	2020/6/21	Djibouti
DJI/NAMRU3_60/2021	DJI/NAMRU3_60/2021	Nextstrain	OK018228	B.1.1.306	Complete	29903	High	NA	Homo sapiens	2021/1/18	Djibouti
DJI/NAMRU3_A201/2021	DJI/NAMRU3_A201/2021	Nextstrain	OK018238	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/5/7	Djibouti
DJI/NAMRU3_B166/2022	DJI/NAMRU3_B166/2022	Nextstrain	ON113309	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/10	Djibouti
DJI/NAMRU3_B369/2022	DJI/NAMRU3_B369/2022	Nextstrain	ON099596	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/10	Djibouti
DJI/NAMRU3_B484/2022	DJI/NAMRU3_B484/2022	Nextstrain	ON099597	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/10	Djibouti
DJI/NAMRU3_B524/2022	DJI/NAMRU3_B524/2022	Nextstrain	ON099598	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/15	Djibouti
DJI/NAMRU3_B529/2022	DJI/NAMRU3_B529/2022	Nextstrain	ON099599	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Djibouti
DJI/NAMRU3_B539/2022	DJI/NAMRU3_B539/2022	Nextstrain	ON099601	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Djibouti
DJI/NAMRU3_B543/2022	DJI/NAMRU3_B543/2022	Nextstrain	ON099603	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Djibouti
DJI/NAMRU3_B552/2022	DJI/NAMRU3_B552/2022	Nextstrain	ON099605	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Djibouti
DJI/NAMRU3_B665/2022	DJI/NAMRU3_B665/2022	Nextstrain	ON099606	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/20	Djibouti
DJI/NAMRU3_B670/2022	DJI/NAMRU3_B670/2022	Nextstrain	ON099607	BA.1.19	Complete	29903	High	NA	Homo sapiens	2022/1/19	Djibouti
DJI/NAMRU3_B673/2022	DJI/NAMRU3_B673/2022	Nextstrain	ON099608	BA.1.19	Complete	29903	High	NA	Homo sapiens	2022/1/20	Djibouti
DJI/NAMRU3_B674/2022	DJI/NAMRU3_B674/2022	Nextstrain	ON099609	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/20	Djibouti
DJI/NAMRU3_B675/2022	DJI/NAMRU3_B675/2022	Nextstrain	ON099610	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Djibouti
DJI/NAMRU3_B680/2022	DJI/NAMRU3_B680/2022	Nextstrain	ON099611	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/20	Djibouti
DJI/NAMRU3_B69/2021	DJI/NAMRU3_B69/2021	Nextstrain	OK018247	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/3/31	Djibouti
DJI/NAMRU3_B699/2022	DJI/NAMRU3_B699/2022	Nextstrain	ON099612	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Djibouti
DJI/NAMRU3_B704/2022	DJI/NAMRU3_B704/2022	Nextstrain	ON099613	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/19	Djibouti
DJI/NAMRU3_B780/2022	DJI/NAMRU3_B780/2022	Nextstrain	ON099614	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/21	Djibouti
DJI/NAMRU3_B832/2022	DJI/NAMRU3_B832/2022	Nextstrain	ON099616	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/24	Djibouti
DJI/NAMRU3_B851/2022	DJI/NAMRU3_B851/2022	Nextstrain	ON099618	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/20	Djibouti
DJI/NAMRU3_B859/2022	DJI/NAMRU3_B859/2022	Nextstrain	ON099621	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/2	Djibouti
DJI/NAMRU3_B863/2022	DJI/NAMRU3_B863/2022	Nextstrain	ON099623	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/1	Djibouti
DJI/NAMRU3_B864/2022	DJI/NAMRU3_B864/2022	Nextstrain	ON099624	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/2	Djibouti
DJI/NAMRU3_B865/2022	DJI/NAMRU3_B865/2022	Nextstrain	ON099625	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/6	Djibouti
DJI/NAMRU3_B869/2022	DJI/NAMRU3_B869/2022	Nextstrain	ON099627	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/31	Djibouti
DJI/NAMRU3_B872/2022	DJI/NAMRU3_B872/2022	Nextstrain	ON099629	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/30	Djibouti
DJI/NAMRU3_B896/2022	DJI/NAMRU3_B896/2022	Nextstrain	ON099634	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/30	Djibouti
DJI/NAMRU3_B961/2022	DJI/NAMRU3_B961/2022	Nextstrain	ON099636	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/1	Djibouti
DJI/NAMRU3_C111/2022	DJI/NAMRU3_C111/2022	Nextstrain	ON099641	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Djibouti
DJI/NAMRU3_C112/2022	DJI/NAMRU3_C112/2022	Nextstrain	ON099642	BA.1.18	Complete	29903	High	NA	Homo sapiens	2022/1/26	Djibouti
DJI/NAMRU3_C116/2022	DJI/NAMRU3_C116/2022	Nextstrain	ON099644	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/27	Djibouti
DJI/NAMRU3_C162/2022	DJI/NAMRU3_C162/2022	Nextstrain	ON099648	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/2/4	Djibouti
DJI/NAMRU3_C585/2022	DJI/NAMRU3_C585/2022	Nextstrain	ON951982	BA.2	Complete	29903	High	NA	Homo sapiens	2022/2/15	Djibouti
DJI/NAMRU3_C827/2022	DJI/NAMRU3_C827/2022	Nextstrain	ON951985	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/1	Djibouti
DJI/NAMRU3_C851/2022	DJI/NAMRU3_C851/2022	Nextstrain	ON951993	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/27	Djibouti
DJI/NAMRU3_CADJ_123/2022	DJI/NAMRU3_CADJ_123/2022	Nextstrain	ON099652	BA.1.15	Complete	29903	High	NA	Homo sapiens	2022/1/18	Djibouti
DJI/NAMRU3_D12/2020	DJI/NAMRU3_D12/2020	Nextstrain	MZ970749	B.1.2	Complete	29903	High	NA	Homo sapiens	2020/12/17	Djibouti
DJI/NAMRU3_E089/2022	DJI/NAMRU3_E089/2022	Nextstrain	ON951987	BA.2	Complete	29903	High	NA	Homo sapiens	2022/4/14	Djibouti
DJI/NAMRU3_E108/2020	DJI/NAMRU3_E108/2020	Nextstrain	OK018273	B.1	Complete	29903	High	NA	Homo sapiens	2020/7/25	Djibouti
DJI/NAMRU3_E171/2021	DJI/NAMRU3_E171/2021	Nextstrain	OL640788	AY.127.1	Complete	29903	High	NA	Homo sapiens	2021/9/27	Djibouti
DJI/NAMRU3_E452/2022	DJI/NAMRU3_E452/2022	Nextstrain	ON951988	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/27	Djibouti
DJI/NAMRU3_E618/2021	DJI/NAMRU3_E618/2021	Nextstrain	MZ394608	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/3/27	Djibouti
DJI/NAMRU3_E938/2022	DJI/NAMRU3_E938/2022	Nextstrain	ON952003	BA.2.10	Complete	29903	High	NA	Homo sapiens	2022/4/30	Djibouti
DJI/NAMRU3_E944/2022	DJI/NAMRU3_E944/2022	Nextstrain	ON952004	BA.2.3	Complete	29903	High	NA	Homo sapiens	2022/4/30	Djibouti
DJI/NAMRU3_EB1/2020	DJI/NAMRU3_EB1/2020	Nextstrain	OK018288	B.1	Complete	29903	High	NA	Homo sapiens	2020/10/21	Djibouti
DJI/NAMRU3_ET_112/2021	DJI/NAMRU3_ET_112/2021	Nextstrain	OK018289	B.1.351	Complete	29903	High	NA	Homo sapiens	2021/4/24	Djibouti
DJI/NAMRU3_SOTF_EA_26/2022	DJI/NAMRU3_SOTF_EA_26/2022	Nextstrain	ON099657	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/15	Djibouti
DJI/NAMRU3_SOTF_EA_33/2022	DJI/NAMRU3_SOTF_EA_33/2022	Nextstrain	ON099660	BA.1.1	Complete	29903	High	NA	Homo sapiens	2022/1/17	Djibouti
DJI/NAMRU3_SOTF_EA26/2021	DJI/NAMRU3_SOTF_EA26/2021	Nextstrain	MZ520060	B.1.1.7	Complete	29903	High	NA	Homo sapiens	2021/3/4	Djibouti
DJI/NAMRU3_TF_506/2022	DJI/NAMRU3_TF_506/2022	Nextstrain	ON099663	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/14	Djibouti
DJI/NAMRU3_TF_508/2022	DJI/NAMRU3_TF_508/2022	Nextstrain	ON099664	BA.1	Complete	29903	High	NA	Homo sapiens	2022/1/18	Djibouti
DOM/202102990_601412/2021	DOM/202102990_601412/2021	Nextstrain	ON022753	B.1.575	Complete	29903	High	NA	Homo sapiens	2021/3/16	Dominican Republic
EGY/CCHE57357_W3_A106/2021	EGY/CCHE57357_W3_A106/2021	Nextstrain	OK001900	C.17	Complete	29903	High	NA	Homo sapiens	2021/6/10	Egypt
EGY/EGY_CCHE57357_A_45/2020	EGY/EGY_CCHE57357_A_45/2020	Nextstrain	MW467453	B.1.1	Complete	29903	High	NA	Homo sapiens	2020/6/20	Egypt
